Crime,Date,Address
Arrest,06/30/10. 03:00 PM.,3600 BLOCK OF SAFE HAVEN COURT SAN JOSE
Arrest,06/30/10. 02:53 PM.,200 BLOCK OF E. SANTA CLARA ST. SAN JOSE
Assault,06/30/10. 02:46 PM.,STORY AND WHITE ROADS SAN JOSE
Robbery,06/30/10. 09:55 AM.,2300 BLOCK OF SOUTH BASCOM AVENUE SAN JOSE
Assault,07/01/10. 03:34 PM.,MCLAUGHLIN AVENUE AND TULLY ROAD SAN JOSE
Assault,07/01/10. 06:34 PM.,"PARK AVENUE AND MARKET STREET, SAN JOSE"
Assault,07/01/10. 06:30 PM.,PLAZA DE CESAR CHAVEZ PARK SAN JOSE
Robbery,07/02/10. 11:24 AM.,100 BLOCK OF SOUTH JACKSON AVENUE SAN JOSE
Arrest,07/03/10. 12:51 PM.,SENTER AND UMBARGER ROADS SAN JOSE
Arrest,07/03/10. 06:23 AM.,SIERRA AND PIEDMONT ROADS SAN JOSE
Robbery,07/03/10. 09:17 AM.,2100 BLOCK OF TULLY ROAD SAN JOSE
Robbery,07/04/10. 07:22 PM.,600 BLOCK OF QUINN AVENUE SAN JOSE
Robbery,07/05/10. 03:23 AM.,400 BLOCK OF BLOSSOM HILL ROAD SAN JOSE
Arrest,07/05/10. 12:54 AM.,OAKLAND ROAD AND EAST SAN ANTONIO STREET SAN JOSE
Theft,07/09/10. 11:00 AM.,500 BLOCK OF CURIE DRIVE SAN JOSE
Vandalism,07/09/10. 06:00 AM.,GUADALUPE RIVER PARK SAN JOSE
Theft,07/09/10. 01:43 AM.,CASEY WAY AND RAMIREZ COURT SAN JOSE
Assault,07/10/10. 06:30 PM.,CAPITOL EXPRESSWAY AND STORY ROAD SAN JOSE
Arrest,07/10/10. 07:45 AM.,3900 BLOCK OF SEVEN TREES BOULEVARD SAN JOSE
Arrest,07/11/10. 10:16 AM.,1500 BLOCK OF MT. HERMAN DRIVE SAN JOSE
Arrest,07/11/10. 02:10 AM.,EAST SANTA CLARA STREET AND FOURTH STREET SAN JOSE
Assault,07/13/10. 06:30 PM.,1700 BLOCK OF BAGPIPE WAY SAN JOSE
Arrest,07/14/10. 05:30 PM.,HOSTETTER ROAD AND LUNDY AVENUE SAN JOSE
Robbery,07/14/10. 05:21 AM.,5600 BLOCK OF MERIDIAN AVENUE SAN JOSE
Shooting,07/14/10. 10:00 PM.,2000 BLOCK OF REXFORD WAY SAN JOSE
Robbery,07/14/10. 05:20 AM.,5000 BLOCK OF MERIDIAN AVENUE SAN JOSE
Arrest,07/15/10. 06:10 PM.,5000 BLOCK OF GLOUCHESTER COURT SAN JOSE
Arson,07/15/10. 03:42 AM.,4400 BLOCK OF ADRAGNA COURT SAN JOSE
Assault,07/15/10. 12:25 AM.,PARK AVENUE AND RACE STREET SAN JOSE
Shooting,07/15/10. 10:00 PM.,2000 BLOCK OF REXFORD WAY SAN JOSE
Assault,07/16/10. 04:22 PM.,CATALDI DRIVE AND MORRILL AVENUE SAN JOSE
Assault,07/16/10. 05:35 AM.,LOCUST AND GOODYEAR STREETS SAN JOSE
Robbery,07/16/10. 01:51 AM.,4200 BLOCK OF SENTER ROAD SAN JOSE
Robbery,07/16/10. 12:47 AM.,5800 BLOCK OF SNELL AVENUE SAN JOSE
Arrest,07/17/10. 08:34 AM.,2000 BLOCK OF RADIO AVENUE SAN JOSE
Robbery,07/17/10. 02:30 PM.,200 BLOCK OF EAST ST. JAMES STREET SAN JOSE
Arrest,07/17/10. 07:31 AM.,DELTA AND SAN FELIPE ROADS SAN JOSE
Assault,07/18/10. 06:23 PM.,5200 BLOCK OF DISCOVERY AVENUE SAN JOSE
Assault,07/18/10. 06:19 PM.,KING ROAD AND VIRGINIA STREET SAN JOSE
Assault,07/18/10. 01:38 PM.,1800 BLOCK OF DRY CREEK ROAD SAN JOSE
Arrest,07/18/10. 10:37 AM.,1200 BLOCK OF MASTIC AVENUE SAN JOSE
Robbery,07/18/10. 04:10 AM.,2100 BLOCK OF CHARGER DRIVE SAN JOSE
Assault,07/19/10. 06:10 PM.,WILLIAMS ROAD AND BOYNTON AVENUE SAN JOSE
Arrest,07/20/10. 02:33 AM.,ST. JAMES AND NORTH FIRST STREETS SAN JOSE
Assault,07/20/10. 06:45 PM.,BRANHAM LANE AND SNOW DRIVE SAN JOSE
Robbery,07/21/10. 09:00 AM.,1000 BLOCK OF BRANHAM LANE SAN JOSE
Theft,07/22/10. 06:31 AM.,2400 BLOCK OF FONTAINE ROAD SAN JOSE
Robbery,07/22/10. 01:20 AM.,SLEEPY HOLLOW LANE AND GALAHAD AVENUE SAN JOSE
Assault,07/22/10. ,CASTLE ROCK STATE PARK SAN JOSE
Assault,07/23/10. 06:31 PM.,GRAMERCY PLACE AND MADDEN AVENUE SAN JOSE
Shooting,07/23/10. 03:22 AM.,700 BLOCK OF FORESTDALE AVENUE SAN JOSE
Robbery,07/24/10. 12:01 AM.,SNELL AVENUE AND BLOSSOM HILL ROAD SAN JOSE
Assault,07/25/10. 10:08 PM.,STORY ROAD AND HOPKINS AVENUE SAN JOSE
Arrest,07/25/10. 03:24 AM.,FOXWORTHY AVENUE AND ALMADEN EXPRESSWAY SAN JOSE
Robbery,07/25/10. 03:45 AM.,2500 BLOCK OF BERRYESSA ROAD SAN JOSE
Robbery,07/26/10. 03:34 PM.,SOUTH NINTH AND KEYES STREETS SAN JOSE
Robbery,07/26/10. 01:17 PM.,1500 BLOCK OF NORTH FIRST STREET SAN JOSE
Arrest,07/28/10. 06:30 PM.,SECOND AND FOUNTAIN ALLEY SAN JOSE
Arrest,07/28/10. 12:25 PM.,MABURY AND KING ROAD SAN JOSE
Arrest,07/28/10. ,700 BLOCK OF SPENCER AVENUE SAN JOSE
Assault,07/30/10. 11:07 PM.,3000 BLOCK OF BIGWOOD DRIVE SAN JOSE
Robbery,07/31/10. 01:20 PM.,5400 BLOCK OF CAMDEN AVENUE SAN JOSE
Robbery,07/31/10. 10:42 PM.,2200 BLOCK OF LUZ AVENUE SAN JOSE
Assault,08/01/10. 02:42 AM.,2900 BLOCK OF ALUM ROCK AVENUE SAN JOSE
Assault,08/02/10. 12:49 AM.,100 BLOCK OF POAS CIRCLE SAN JOSE
Robbery,08/04/10. 01:24 PM.,1100 BLOCK OF STORY ROAD SAN JOSE
Assault,08/05/10. 07:02 AM.,3200 BLOCK OF LOMA VERDE DRIVE SAN JOSE
Arrest,08/05/10. 09:00 AM.,CAPITOL AVENUE AND BAMBI LANE SAN JOSE
Arrest,08/05/10. 08:48 AM.,100 BLOCK OF HERLONG AVENUE SAN JOSE
Robbery,08/05/10. 06:56 AM.,100 BLOCK OF EAST TAYLOR STREET SAN JOSE
Assault,08/05/10. 04:00 AM.,PREVOST AND WILLOW STREET SAN JOSE
Robbery,08/07/10. 02:20 AM.,MERIDIAN AND HAMILTON AVENUE SAN JOSE
Assault,08/07/10. 01:31 AM.,3000 BLOCK OF LOMA VERDE DRIVE SAN JOSE
Assault,08/07/10. 01:02 AM.,MCLAUGHLIN AND OWSLEY AVENUE SAN JOSE
Assault,08/10/10. 02:28 PM.,2700 BLOCK OF KOLLMER DRIVE SAN JOSE
Arrest,08/10/10. 09:30 AM.,3200 BLOCK OF LOMA VERDE DRIVE SAN JOSE
Arrest,08/10/10. 08:55 AM.,ST. JOHN AND 13TH STREETS SAN JOSE
Shooting,08/10/10. ,400 BLOCK OF BLOSSOM HILL ROAD SAN JOSE
Arrest,08/11/10. 07:16 PM.,7000 BLOCK OF SANTA TERESA BOULEVARD SAN JOSE
Robbery,08/11/10. 03:24 PM.,1000 BLOCK OF BLOSSOM HILL ROAD SAN JOSE
Robbery,08/11/10. 01:47 PM.,1700 BLOCK OF NORTH FIRST STREET SAN JOSE
Assault,08/13/10. 11:15 PM.,2100 BLOCK OF HURAN DRIVE SAN JOSE
Assault,08/14/10. 04:11 PM.,400 BLOCK OF ALLEGAN CIRCLE SAN JOSE
Arrest,08/14/10. 06:03 AM.,100 BLOCK OF PALM VALLEY BOULEVARD SAN JOSE
Burglary,08/14/10. 09:27 PM.,600 BLOCK OF PAMLAR AVENUE SAN JOSE
Shooting,08/14/10. 11:42 PM.,3000 BLOCK OF MOORPARK AVENUE SAN JOSE
Assault,08/15/10. 11:48 PM.,200 BLOCK OF NORTH WHITE ROAD SAN JOSE
Arrest,08/15/10. 09:18 PM.,MONTEREY HIGHWAY AND PHELAN AVENUE SAN JOSE
Assault,08/15/10. 07:01 PM.,1800 BLOCK OF VIRGINIA AVENUE SAN JOSE
Theft,08/15/10. 04:59 PM.,"200 BLOCK OF JACKSON STREET, SAN JOSE"
Robbery,08/15/10. 12:46 PM.,200 BLOCK OF EAST JULIAN SAN JOSE
Arrest,08/16/10. 02:30 PM.,TULLY AND SENTER ROAD SAN JOSE
Arrest,08/16/10. 01:57 AM.,3900 BLOCK OF SNELL AVENUE SAN JOSE
Assault,08/17/10. 02:50 PM.,100 BLOCK OF SOUTH 21ST STREET SAN JOSE
Assault,08/17/10. 07:02 PM.,3200 BLOCK OF LOMA VERDE DRIVE SAN JOSE
Assault,08/17/10. 07:30 PM.,WINCHESTER BOULEVARD AND PAYNE AVENUE SAN JOSE
Shooting,08/17/10. 07:30 PM.,WINCHESTER AVENUE AND PAYNE ROAD SAN JOSE
Shooting,08/21/10. 11:53 PM.,600 BLOCK OF MCLAUGHLIN AVENUE SAN JOSE
Robbery,08/22/10. 06:41 AM.,1600 BLOCK OF TULLY ROAD SAN JOSE
Theft,08/22/10. 02:30 PM.,BRANHAM LANE AND MERIDIAN AVENUE SAN JOSE
Robbery,08/22/10. 07:00 PM.,1800 BLOCK OF THE ALAMEDA SAN JOSE
Assault,08/22/10. 08:35 PM.,STORY AND KING STREET SAN JOSE
Robbery,08/22/10. 11:14 PM.,2600 BLOCK OF MCKEE ROAD SAN JOSE
Robbery,08/23/10. 05:38 PM.,2000 BLOCK OF FOREST AVENUE SAN JOSE
Assault,08/24/10. 06:19 PM.,1000 BLOCK OF MELBOURNE BOULEVARD SAN JOSE
Arrest,08/24/10. 12:07 AM.,ALUM ROCK AVENUE AND 34TH STREET SAN JOSE
Arrest,08/25/10. 10:15 PM.,3500 BLOCK OF AMBRA WAY SAN JOSE
Assault,08/28/10. 10:30 AM.,400 BLOCK OF ROYALE PARK DRIVE SAN JOSE
Assault,08/28/10. 10:13 PM.,LANAI AND TOLBERT STREET SAN JOSE
Shooting,08/28/10. 10:45 PM.,300 BLOCK OF SAN ANTONIO COURT SAN JOSE
Assault,08/29/10. 12:45 PM.,EMPIRE AND 13TH STREET SAN JOSE
Assault,08/29/10. 05:11 PM.,ALUM ROCK AND CAPITOL SAN JOSE
Shooting,08/29/10. 09:04 PM.,REGIONAL MEDICAL CENTER SAN JOSE
Arson,08/29/10. 07:09 PM.,200 BLOCK OF NORTH 18TH STREET SAN JOSE
Assault,08/29/10. 11:42 PM.,2000 BLOCK OF SHILSHONE CIRCLE SAN JOSE
Theft,08/29/10. 10:44 PM.,400 BLOCK OF WILLIS AVENUE SAN JOSE
Robbery,08/31/10. 09:34 PM.,1400 BLOCK OF LAKESHORE CIRCLE SAN JOSE
Robbery,08/31/10. 11:06 PM.,300 BLOCK OF NORTH CAPITOL AVENUE SAN JOSE
Arrest,09/01/10. 03:00 PM.,SECOND STREET AND FOUNTAIN ALLEY SAN JOSE
Assault,09/01/10. 03:44 PM.,200 BLOCK OF NORTH FIFTH STREET SAN JOSE
Arrest,09/03/10. 12:23 AM.,1700 BLOCK OF COMMODORE DRIVE SAN JOSE
Arrest,09/05/10. 10:21 AM.,SILVER CREEK AND YERBA BUENA ROADS SAN JOSE
Arrest,09/05/10. 01:11 AM.,300 BLOCK OF SOUTH FIRST STREET SAN JOSE
Burglary,09/05/10. 01:06 AM.,BALTIC WAY AND SENTER ROAD SAN JOSE
Robbery,09/05/10. 11:41 PM.,SEVEN TREES BOULEVARD AND CAPITOL EXPRESSWAY SAN JOSE
Arrest,09/05/10. 09:01 AM.,200 BLOCK OF EDENVALE AVENUE SAN JOSE
Arrest,09/05/10. 06:48 AM.,4100 BLOCK OF MONTEREY SAN JOSE
Arrest,09/06/10. 12:46 PM.,400 BLOCK OF SNYDER AVENUE SAN JOSE
Assault,09/06/10. 12:04 PM.,1100 BLOCK OF TULLY ROAD SAN JOSE
Arrest,09/07/10. 02:05 PM.,MINETA SAN JOSE INTERNATIONAL AIRPORT SAN JOSE
Robbery,09/08/10. 12:47 AM.,1300 BLOCK OF LINCOLN AVENUE SAN JOSE
Arson,09/08/10. 10:43 AM.,900 BLOCK OF GREENBAY COURT SAN JOSE
Robbery,09/08/10. 07:40 AM.,MCLAUGHLIN AND FAIR AVENUE SAN JOSE
Arrest,09/08/10. 12:40 AM.,TUSTIN DRIVE AND KING ROAD SAN JOSE
Robbery,09/08/10. 02:20 AM.,1900 BLOCK OF SEEPTER COURT ALAMEDA
Robbery,09/08/10. 02:50 PM.,500 BLOCK OF WEST CAPITOL EXPRESSWAY SAN JOSE
Assault,09/09/10. 05:34 PM.,900 BLOCK OF LOCUST STREET SAN JOSE
Assault,09/09/10. 05:31 PM.,100 BLOCK OF OAK ST SAN JOSE
Assault,09/09/10. 03:35 PM.,1100 BLOCK OF STORY ROAD SAN JOSE
Assault,09/10/10. 09:39 PM.,1100 BLOCK OF ALMADEN AVENUE SAN JOSE
Arrest,09/10/10. 01:57 PM.,1900 BLOCK OF FLINT AVENUE SAN JOSE
Arrest,09/10/10. 08:30 AM.,3000 BLOCK OF JASMINE CIRCLE SAN JOSE
Shooting,09/10/10. 12:25 AM.,400 BLOCK OF SOUTH FOURTH STREET SAN JOSE
Arrest,09/11/10. 09:52 AM.,NORTH FOURTH AND JULIAN STREETS SAN JOSE
Robbery,09/11/10. 05:33 AM.,600 BLOCK OF EAST CAPITOL EXPRESSWAY SAN JOSE
Arrest,09/11/10. 10:28 AM.,RICHWOOD DRIVE AND MILLER AVENUE SAN JOSE
Robbery,09/11/10. 05:47 AM.,700 BLOCK OF SOUTH 11TH STREET SAN JOSE
Assault,09/11/10. 03:30 AM.,NORTH 12TH AND EMPIRE STREETS SAN JOSE
Assault,09/11/10. 03:10 PM.,WEST SAN CARLOS STREET AND SOUTH BUENA VISTA AVENUE SAN JOSE
Assault,09/11/10. 02:39 AM.,MCKEE ROAD AND JACKSON AVENUE SAN JOSE
Assault,09/12/10. 07:19 PM.,ALUM ROCK AVENUE AND CAPITOL AVENUE SAN JOSE
Arrest,09/12/10. 06:14 PM.,SINGLETON ROAD AND PFEIFLE AVENUE SAN JOSE
Assault,09/12/10. 02:30 AM.,CAPITOL EXPRESSWAY AND OCALA AVENUE SAN JOSE
Assault,09/14/10. 12:41 PM.,NORTH 24TH AND EAST SANTA CLARA STREETS SAN JOSE
Robbery,09/14/10. 10:51 AM.,POST AND FIRST STREETS SAN JOSE
Robbery,09/15/10. 03:52 PM.,300 BLOCK OF N. CAPITOL AVE SAN JOSE
Robbery,09/16/10. 12:55 PM.,00 BLOCK OF W. SANTA CLARA ST SAN JOSE
Robbery,09/16/10. 03:30 AM.,SNELL AVENUE AND CAPITOL EXPRESSWAY SAN JOSE
Burglary,09/17/10. 02:40 PM.,2300 BLOCK OF OLD POST WAY SAN JOSE
Assault,09/18/10. 11:34 AM.,600 BLOCK OF SOUTH SECOND STREET SAN JOSE
Assault,09/18/10. 11:34 AM.,700 BLOCK OF S. BASCOM AVE SAN JOSE
Assault,09/18/10. 02:22 AM.,SOUTH ALMADEN STREET AND WILLOW AVENUE SAN JOSE
Assault,09/18/10. 02:18 AM.,1200 BLOCK OF ALMADEN AVENUE SAN JOSE
Assault,09/18/10. 12:07 AM.,ALMADEN ROAD AND WEST ALMA AVENUE SAN JOSE
Assault,09/19/10. 08:04 PM.,STORY ROAD AND SUNSET AVENUE SAN JOSE
Robbery,09/20/10. 11:27 PM.,100 BLOCK OF SOUTH SECOND STREET SAN JOSE
Arrest,09/21/10. 06:15 PM.,3000 BLOCK OF COPPERFIELD DRIVE SAN JOSE
Robbery,09/21/10. 11:50 AM.,SOUTH KING ROAD AND SEMINOLE WAY SAN JOSE
Arrest,09/21/10. 11:21 AM.,1800 BLOCK OF VILLA STONE DRIVE SAN JOSE
Assault,09/21/10. 06:51 AM.,LOS ESTEROS AND ZANKER ROADS SAN JOSE
Robbery,09/21/10. 03:00 AM.,1300 BLOCK OF LEXINGTON DRIVE SAN JOSE
Arrest,09/22/10. 06:30 PM.,SECOND STREET AND FOUNTAIN ALLEY SAN JOSE
Arrest,09/22/10. 06:42 PM.,LYNETTE WAY AND EAST SAN ANTONIO STREET SAN JOSE
Robbery,09/22/10. 02:04 AM.,3100 BLOCK OF SENTER ROAD SAN JOSE
Burglary,09/23/10. 12:24 PM.,4900 BLOCK OF EBERLY DRIVE SAN JOSE
Arrest,09/23/10. 09:10 AM.,1300 BLOCK OF DARRYL DRIVE SAN JOSE
Theft,09/24/10. 08:12 PM.,400 BLOCK OF NORDYKE DRIVE SAN JOSE
Robbery,09/24/10. 02:29 PM.,1600 BLOCK OF ST. REGIS DRIVE SAN JOSE
Assault,09/24/10. 02:00 AM.,2900 BLOCK OF ALMADEN EXPRESSWAY SAN JOSE
Assault,09/24/10. 12:36 AM.,STORY ROAD AND KNOX AVENUE SAN JOSE
Burglary,09/24/10. 12:04 AM.,1000 BLOCK OF PINEWOOD DRIVE SAN JOSE
Arrest,09/25/10. 04:19 PM.,200 BLOCK OF W. MISSION ST SAN JOSE
Assault,09/25/10. 01:55 AM.,200 BLOCK OF KEYES STREET SAN JOSE
Shooting,09/26/10. 02:12 AM.,LUNDY AVENUE AND BERRYESSA ROAD SAN JOSE
Robbery,09/27/10. 11:23 AM.,NORTH THIRD AND EAST ST. JAMES STREETS SAN JOSE
Arrest,09/27/10. 10:53 AM.,200 BLOCK OF S. FIRST ST SAN JOSE
Arrest,09/29/10. 06:12 PM.,LAS PLUMAS AVENUE AND NORTH KING ROAD SAN JOSE
Burglary,09/29/10. 01:56 PM.,3100 BLOCK OF FLORENCE COURT SAN JOSE
Assault,09/29/10. 08:20 AM.,CHAPEL HILL AND LUCRETIA AVENUE SAN JOSE
Arrest,09/29/10. 11:02 PM.,ROEHAMPTON AVENUE AND STORY ROAD SAN JOSE
Arrest,09/30/10. 08:45 PM.,SECOND STREET AND FOUNTAIN ALLEY SAN JOSE
Burglary,09/30/10. 03:50 PM.,6000 BLOCK OF EMPRESS COURT SAN JOSE
Burglary,09/30/10. 01:00 PM.,1000 BLOCK OF WALNUT WOODS SAN JOSE
Arrest,09/30/10. 12:05 AM.,EAST SANTA CLARA STREET AND SOUTH SECOND STREET SAN JOSE
Robbery,10/01/10. 08:20 PM.,1700 BLOCK OF NORTH FIRST STREET SAN JOSE
Burglary,10/01/10. 07:30 AM.,1500 BLOCK OF SARATOGA AVENUE SAN JOSE
Assault,10/01/10. 03:09 AM.,4100 BLOCK OF MONTEREY HIGHWAY SAN JOSE
Burglary,10/02/10. 03:23 AM.,SOUTH SECOND AND KEYES STREETS SAN JOSE
Robbery,10/02/10. 02:00 AM.,CURTNER AVENUE AND CANOAS GARDEN AVENUE SAN JOSE
Assault,10/03/10. 10:00 PM.,ALMADEN ROAD AND SUTTER STREET SAN JOSE
Robbery,10/03/10. 08:00 PM.,PEARL AVENUE AND BRANHAM LANE SAN JOSE
Assault,10/03/10. 11:22 AM.,900 BLOCK OF SOUTH 10TH STREET SAN JOSE
Burglary,10/03/10. 07:30 AM.,TOLLIVER DRIVE AND WHITE ACRES DRIVE SAN JOSE
Assault,10/03/10. 07:50 AM.,2600 BLOCK OF LUCENA DRIVE SAN JOSE
Shooting,10/05/10. 04:36 PM.,100 BLOCK OF OAK STREET SAN JOSE
Robbery,10/05/10. 03:15 AM.,1200 BLOCK OF LEIGH AVENUE SAN JOSE
Robbery,10/05/10. 02:15 AM.,HAMILTON AVENUE AND PHANTOM AVENUE SAN JOSE
Arrest,10/06/10. 12:15 AM.,ALUM ROCK AVENUE AND NORTH 33RD STREET SAN JOSE
Shooting,10/08/10. 02:17 AM.,PAYNE AVENUE AND SAN TOMAS EXPRESSWAY SAN JOSE
Arrest,10/10/10. 08:27 PM.,BISCAYNE WAY AND CLIFFWOOD DRIVE SAN JOSE
Arrest,10/11/10. 08:00 PM.,2700 BLOCK OF AIELLO DRIVE SAN JOSE
Robbery,10/11/10. 12:16 AM.,ALUM ROCK AVENUE AND MCCREERY AVENUE SAN JOSE
Burglary,10/11/10. 11:37 AM.,1100 BLOCK OF GINGER LANE SAN JOSE
Robbery,10/12/10. 04:30 AM.,LEEWARD DRIVE AND ARDEN WAY SAN JOSE
Theft,10/12/10. 08:40 AM.,5300 BLOCK OF GERINE BLOSSOM DRIVE SAN JOSE
Assault,10/12/10. 03:34 AM.,SCOTT STREET AND BASCOM AVENUE SAN JOSE
Burglary,10/12/10. 12:53 AM.,SEVEN TREES BOULEVARD AND SENTER ROAD SAN JOSE
Arrest,10/13/10. 06:00 PM.,SOUTH SECOND AND SAN FERNANDO STREETS SAN JOSE
Arrest,10/13/10. 05:15 PM.,MINNESOTA AVENUE AND LINCOLN AVENUE SAN JOSE
Robbery,10/13/10. 11:26 AM.,200 BLOCK OF SUNOL ST. SAN JOSE
Theft,10/13/10. 11:19 AM.,1000 BLOCK OF GINGER LANE SAN JOSE
Arrest,10/13/10. 01:40 AM.,300 BLOCK OF SOUTH FIRST STREET SAN JOSE
Assault,10/16/10. 08:30 PM.,500 BLOCK OF MCLAUGHLIN AVENUE SAN JOSE
Assault,10/17/10. 02:09 AM.,100 BLOCK OF SOUTH FIRST STREET SAN JOSE
Robbery,10/17/10. 10:03 PM.,SOUTH SECOND AND KEYES STREETS SAN JOSE
Assault,10/18/10. 05:55 PM.,1800 BLOCK OF STORY ROAD SAN JOSE
Assault,10/18/10. 12:52 AM.,300 BLOCK OF SILICON VALLEY BOULEVARD SAN JOSE
Shooting,10/21/10. 10:56 PM.,2100 BLOCK OF HIKIDO DRIVE SAN JOSE
Arrest,10/21/10. ,TAMPA WAY SAN JOSE
Assault,10/26/10. 08:00 PM.,700 BLOCK OF VINE STREET SAN JOSE
Robbery,10/26/10. 09:58 PM.,MONTEREY HIGHWAY AND ROEDER ROAD SAN JOSE
Shooting,10/28/10. 12:07 AM.,1600 BLOCK OF BERMUDA WAY SAN JOSE
Assault,10/31/10. 01:42 AM.,KING ROAD AND VIRGINIA AVENUE SAN JOSE
Assault,10/31/10. 02:44 AM.,4000 BLOCK OF NEW COMPTON DRIVE SAN JOSE
Robbery,10/31/10. 09:30 PM.,1700 BLOCK OF RIDGETREE WAY SAN JOSE
Assault,10/31/10. 09:02 PM.,2200 BLOCK OF LANAI AVENUE SAN JOSE
Robbery,11/01/10. 11:21 AM.,4000 BLOCK OF WILL ROGERS SAN JOSE
Robbery,11/01/10. 05:31 PM.,1800 BLOCK OF CAMDEN AVENUE SAN JOSE
Burglary,11/04/10. 02:26 AM.,300 BLOCK OF DAISY DRIVE SAN JOSE
Robbery,11/05/10. 10:20 AM.,1600 BLOCK OF EAST CAPITOL EXPRESSWAY SAN JOSE
Robbery,11/05/10. 02:06 AM.,4200 BLOCK OF SENTER ROAD SAN JOSE
Assault,11/06/10. 11:19 PM.,SOUTH SECOND STREET AND PASEO DE SAN ANTONIO SAN JOSE
Robbery,11/07/10. 02:28 AM.,500 BLOCK OF SOUTH 10TH STREET SAN JOSE
Robbery,11/08/10. 01:24 PM.,STORY ROAD AND BAL HARBOR WAY SAN JOSE
Arrest,11/08/10. 01:01 PM.,6000 BLOCK OF SNELL AVENUE SAN JOSE
Shooting,11/08/10. 01:27 AM.,1300 BLOCK OF KOOSER ROAD SAN JOSE
Arson,11/09/10. 08:56 PM.,100 BLOCK OF SAN JOSE AVENUE SAN JOSE
Shooting,11/11/10. 06:05 PM.,OAK STREET AND SOUTH ALMADEN AVENUE SAN JOSE
Robbery,11/12/10. 03:59 AM.,2100 BLOCK OF NORTH CAPITOL AVENUE SAN JOSE
Assault,11/14/10. 09:40 PM.,KING AND TULLY ROADS SAN JOSE
Assault,11/16/10. 05:38 PM.,2100 BLOCK OF LANAI AVENUE SAN JOSE
Theft,11/16/10. 10:22 AM.,3000 BLOCK OF DELTA ROAD SAN JOSE
Shooting,11/16/10. 08:00 AM.,MOUNT OLIVEIRA DRIVE AND ROCKY MOUNTAIN DRIVE SAN JOSE
Robbery,11/17/10. 08:45 PM.,1700 BLOCK OF SAN CARLOS STREET SAN JOSE
Robbery,11/17/10. 08:03 PM.,1400 BLOCK OF SOUTH WHITE ROAD SAN JOSE
Assault,11/17/10. 02:26 AM.,SOUTH 10TH AND EAST SAN CARLOS STREETS SAN JOSE
Assault,11/17/10. 02:04 AM.,200 BLOCK OF EAST SANTA CLARA STREET SAN JOSE
Robbery,11/18/10. 08:19 PM.,SAN FERNANDO AND SECOND STREETS SAN JOSE
Burglary,11/18/10. 04:10 AM.,3100 BLOCK OF MT. OSO DRIVE SAN JOSE
Assault,11/18/10. 01:53 AM.,NORTH 13TH AND MISSION STREETS SAN JOSE
Shooting,11/20/10. 01:26 AM.,1700 BLOCK OF BERRYESSA ROAD SAN JOSE
Assault,11/20/10. 12:29 AM.,400 BLOCK OF BLOSSOM HILL ROAD SAN JOSE
Robbery,11/21/10. 10:10 PM.,4200 BLOCK OF SENTER ROAD SAN JOSE
Theft,11/21/10. 07:00 AM.,700 BLOCK OF RIDDER PARK DRIVE SAN JOSE
Shooting,11/21/10. 01:20 AM.,1600 BLOCK OF STORY ROAD SAN JOSE
Robbery,11/27/10. 06:24 PM.,3000 BLOCK OF SILVER CREEK ROAD SAN JOSE
Burglary,11/27/10. 08:47 PM.,2600 BLOCK OF GASSMANN DRIVE SAN JOSE
Robbery,11/27/10. 06:00 PM.,EAST JULIAN AND NORTH SEVENTH STREETS SAN JOSE
Robbery,11/28/10. 10:41 PM.,TAMPA WAY AND HAVANA DRIVE SAN JOSE
Assault,11/28/10. 03:49 AM.,2700 BLOCK OF KOLLMAR DRIVE SAN JOSE
Robbery,11/28/10. 03:09 PM.,900 BLOCK OF NORTHUP STREET SAN JOSE
Robbery,11/30/10. 04:08 PM.,STORY ROAD AND BAL HARBOR WAY SAN JOSE
Burglary,11/30/10. 03:25 AM.,500 BLOCK OF EAST SANTA CLARA STREETS SAN JOSE
Vandalism,12/01/10. 02:15 AM.,SULLIVAN AVENUE AND ADRIAN WAY SAN JOSE
Burglary,12/02/10. 11:55 AM.,1700 BLOCK OF SEVILLE WAY SAN JOSE
Theft,12/03/10. 07:51 PM.,800 BLOCK OF DELMAS AVENUE SAN JOSE
Assault,12/03/10. 07:00 PM.,SOUTHSIDE DRIVE AND MONTEREY ROAD SAN JOSE
Assault,12/03/10. ,100 BLOCK OF WHITE ROAD SAN JOSE
Arrest,12/03/10. 06:01 PM.,MCKEE ROAD AND NORTH CAPITOL AVENUE SAN JOSE
Burglary,12/04/10. 01:33 PM.,2900 BLOCK OF GLEN ALDEN COURT SAN JOSE
Robbery,12/04/10. 10:47 AM.,800 BLOCK OF ALMADEN AVENUE SAN JOSE
Robbery,12/04/10. 06:58 AM.,1500 BLOCK OF BRANHAM LANE SAN JOSE
Burglary,12/04/10. 06:33 AM.,300 BLOCK OF TRADEWINDS DRIVE SAN JOSE
Assault,12/04/10. 01:17 AM.,100 BLOCK OF GRAMERCY PLACE SAN JOSE
Assault,12/05/10. 04:51 AM.,600 BLOCK OF NORTH 15TH STREET SAN JOSE
Robbery,12/06/10. 08:44 PM.,FARRINGDON DRIVE AND MOSS POINT AVENUE SAN JOSE
Shooting,12/06/10. 05:29 PM.,LEIGH AVENUE AND DRY CREEK ROAD SAN JOSE
Vandalism,12/06/10. 02:20 PM.,400 BLOCK OF NORTH 11TH STREET SAN JOSE
