Crime,Date,Address
Robbery,02/22/10. 01:33 PM.,ADRIAN WAY AND SULLIVAN AVENUE SAN JOSE
Assault,02/23/10. 01:44 PM.,3000 BLOCK OF STORY ROAD SAN JOSE
Robbery,02/25/10. 07:19 PM.,ALUM ROCK AVENUE AND NORTH JACKSON STREET SAN JOSE
Robbery,02/25/10. 08:51 PM.,5400 BLOCK OF LEAN AVENUE SAN JOSE
Robbery,02/25/10. 06:50 PM.,LA COLINA PARK SAN JOSE
Robbery,02/28/10. 07:07 AM.,600 BLOCK OF EAST HEDDING STREET SAN JOSE
Arrest,02/28/10. 01:17 AM.,SOUTH SECOND AND MARTHA STREET SAN JOSE
Assault,02/28/10. 02:11 AM.,900 BLOCK OF WINCHESTER AVENUE SAN JOSE
Shooting,03/01/10. 04:45 PM.,OAK STREET AND ALMADEN AVENUE SAN JOSE
Assault,03/02/10. 04:46 PM.,STORY ROAD AND HOPKINS DRIVE SAN JOSE
Robbery,03/04/10. 12:03 PM.,500 BLOCK OF WEST CAPITOL EXPRESSWAY SAN JOSE
Robbery,03/05/10. 12:25 AM.,500 BLOCK OF CALERO AVENUE SAN JOSE
Arrest,03/06/10. 09:17 AM.,STORY ROAD AND HOPKINS DRIVE SAN JOSE
Robbery,03/07/10. 06:31 PM.,TULLY ROAD AND ALVIN AVENUE SAN JOSE
Assault,03/07/10. 03:24 PM.,WEST SAN CARLOS STREET AND TOPEKA AVENUE SAN JOSE
Arrest,03/08/10. 02:40 PM.,3000 BLOCK OF ALUM ROCK AVENUE SAN JOSE
Arrest,03/08/10. 11:00 AM.,4800 BLOCK OF WELLINGTON PARK DRIVE SAN JOSE
Arrest,03/08/10. 03:00 AM.,300 BLOCK OF SANTANA ROW SAN JOSE
Robbery,03/09/10. 12:00 PM.,2900 BLOCK OF STEVENS CREEK BOULEVARD SAN JOSE
Burglary,03/09/10. 03:12 AM.,14000 BLOCK OF CANDLER AVENUE SAN JOSE
Assault,03/10/10. 12:23 AM.,HOLLY HILL DRIVE AND MCLAUGHLIN AVENUE SAN JOSE
Robbery,03/11/10. 04:44 AM.,2500 BLOCK OF FONTAINE ROAD SAN JOSE
Assault,03/13/10. 03:24 AM.,SOUTH SIXTH AND SAN SALVADOR STREET SAN JOSE
Assault,03/14/10. 10:15 PM.,1600 BLOCK OF HOPKINS DRIVE SAN JOSE
Robbery,03/14/10. 07:58 PM.,3000 BLOCK OF MCKEE ROAD SAN JOSE
Assault,03/14/10. 04:40 AM.,WHITE ROAD AND ALUM ROCK AVENUE SAN JOSE
Robbery,03/14/10. 01:57 AM.,CURTNER AND LEIGH AVENUE SAN JOSE
Robbery,03/16/10. 06:30 AM.,1600 BLOCK OF NORTH CAPITOL AVENUE SAN JOSE
Shooting,03/16/10. 06:30 AM.,SANTA TERESA BOULEVARD AND STANLEY COURT SAN JOSE
Burglary,03/18/10. 03:03 PM.,3200 BLOCK OF CANTADA COURT SAN JOSE
Theft,03/18/10. 01:00 PM.,400 BLOCK OF BLOSSOM HILL ROAD SAN JOSE
Assault,03/18/10. 12:32 AM.,2400 BLOCK OF TULLY ROAD SAN JOSE
Assault,03/24/10. 07:13 PM.,300 BLOCK OF BLUEFIELD DRIVE SAN JOSE
Robbery,03/24/10. 02:27 AM.,400 BLOCK OF ALLEGAN CIRCLE SAN JOSE
Robbery,03/25/10. 08:16 PM.,600 BLOCK OF MACREDES AVENUE SAN JOSE
Arson,03/25/10. 11:34 AM.,100 BLOCK OF N. THIRD ST. SAN JOSE
Burglary,03/25/10. 01:44 AM.,100 BLOCK OF SCHARFF AVENUE SAN JOSE
Assault,03/26/10. 02:53 PM.,100 BLOCK OF SOUTH WHITE ROAD SAN JOSE
Shooting,03/27/10. 01:05 AM.,1000 BLOCK OF SOUTH NINTH STREET SAN JOSE
Theft,03/29/10. 12:00 AM.,600 BLOCK OF WILLOW ST SAN JOSE
Shooting,03/29/10. 09:04 PM.,STORY ROAD AND SUNSET AVENUE SAN JOSE
Assault,03/29/10. 04:26 AM.,3800 BLOCK OF STEVENS CREEK BOULEVARD SAN JOSE
Assault,03/30/10. 05:16 PM.,MOORPARK AVENUE AND JOHN MISE COURT SAN JOSE
Assault,03/30/10. 02:50 PM.,ALUM ROCK AVENUE AND CAPITOL AVENUE SAN JOSE
Burglary,03/30/10. 01:30 PM.,HELLYER AVENUE AND LOBUE WAY SAN JOSE
Theft,03/30/10. 04:30 AM.,PARK AVENUE AND RACE AVENUE SAN JOSE
Assault,04/04/10. 01:45 AM.,1100 BLOCK OF BRANHAM LANE SAN JOSE
Assault,04/04/10. 12:45 AM.,6100 BLOCK OF MONTEREY ROAD SAN JOSE
Arrest,04/06/10. 07:28 PM.,NORWOOD AVENUE AND KLEIN ROAD SAN JOSE
Burglary,04/07/10. 10:20 AM.,1900 BLOCK OF DRUMHEAD COURT SAN JOSE
Arrest,04/08/10. 03:30 PM.,"500 BLOCK OF DANA AVE., SAN JOSE, CA SAN JOSE"
Other,04/08/10. 01:00 PM.,"5200 BLOCK OF CAMDEN AVENUE, SAN JOSE, CA SAN JOSE"
Arrest,04/08/10. 12:06 AM.,1900 BLOCK OF FERNISH DRIVE SAN JOSE
Arrest,04/09/10. 07:00 PM.,SOUTH WHITE ROAD AND FARRINGDON DRIVE SAN JOSE
Assault,04/09/10. 07:00 PM.,2700 BLOCK OF STORY ROAD SAN JOSE
Arrest,04/09/10. 07:00 PM.,2900 BLOCK OF PLUMSTEAD WAY SAN JOSE
